workerid,proliferate.condition,button_rt,condition,correct,correct_tangram,failed_audio,failed_images,failed_video,gameId,internal_node_id,response,rt,selected,stimulus,success,text,time_elapsed,timeout,trial_index,trial_type,type,word,error
914,the one true condition,,,,,[],[],[],,0.0-0.0,,,,,True,,87,False,0,preload,,,
914,the one true condition,,,,,,,,,0.0-1.0,0,4018,," <center><img width=""300px"" src=""assets/stanford.png"" /></center><div id=""legal""></br>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at  <a href=""mailto://languagecoglab@gmail.com.""> languagecoglab@gmail.com</a>.You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </div></br>",,,4106,,1,html-button-response,,,
914,the one true condition,,,,,,,,,0.0-2.0,0,60824,,"<h3>Please read these instructions carefully!</h3> </br><div id=""intro""> <p>In this task, you will see a <b>transcript of a conversation</b> some previous participants had where a <b>speaker identified one of the images to some listeners</b>.</p></br><center><img width=""600px"" src=""assets/demo.png"" /></center></br><p>Your goal is to <b>read the transcript</b> and <b>figure out which image</b> is being described! </p><p>You will <b>click the image</b> you think is being described, and then you will <b>find out if you were right</b>.<p><p>You will see <b>64 trials</b>. The image choices will stay the same, but the transcripts will come from different groups of people. Some of the transcripts may be much shorter or longer than others. Some of the descriptions may be hard to understand -- just take a guess if you are not sure.</p><p>You will get a bonus of <b>5 cents</b> for each image you get right! </p><p> <b>Note:</b> These descriptions came from real people and may contain inappropriate or offensive language. If you find a description inappropriate, please let us know via Prolific message or in the exit survey, so we can filter it out in the future.</p>",,,64930,,2,html-button-response,,,
914,the one true condition,24997,2_thick_1,False,K,,,,rshQ6tYBS22PNQeTe,0.0-3.0-0.0,8,[],E,,,"[{'role': 'speaker', 'text': 'facing rightwards, like a head with an additional diamond on top, hands in a prayer pose', 'playerId': 'MgJ37EC6d5m8bs8h7'}, {'role': 'speaker', 'text': ""it's the only one with two diamonds for a head"", 'playerId': 'MgJ37EC6d5m8bs8h7'}]",89931,,3,spr-buttons,selection,[],
914,the one true condition,,,,,,,,,0.0-3.0-1.0,,[],,,,,90849,,4,spr-buttons,feedback,[],
914,the one true condition,13348,2_thin_6,False,A,,,,BP9jqaXgDcqoupu9X,0.0-3.0-0.1,7,[],K,,,"[{'role': 'speaker', 'text': '* The guy with the head facing right, and the legs facing the other way One of the legs lifted', 'playerId': '6FJS2spM98nBBPJdc'}]",104197,,5,spr-buttons,selection,[],
914,the one true condition,,,,,,,,,0.0-3.0-1.1,,[],,,,,105101,,6,spr-buttons,feedback,[],
914,the one true condition,5525,2_thick_6,True,I,,,,PF2Wo9cXvN4eYEgQm,0.0-3.0-0.2,5,[],I,,,"[{'role': 'speaker', 'text': 'one foot down one foot out behind arms outstretched facing left', 'playerId': '8Dpsmcfr85fEhvbo5'}]",110629,,7,spr-buttons,selection,[],
914,the one true condition,,,,,,,,,0.0-3.0-1.2,,[],,,,,111540,,8,spr-buttons,feedback,[],
914,the one true condition,10356,6_thin_1,True,G,,,,yf4vLYMpH9j84z98K,0.0-3.0-0.3,4,[],G,,,"[{'role': 'speaker', 'text': 'Lots of shapes on this one Kind of looks like someone lounging with a hand behind them', 'playerId': 'fRQb9DJBabAZCcAjY'}]",121899,,9,spr-buttons,selection,[],
