workerid,proliferate.condition,button_rt,condition,correct,correct_tangram,failed_audio,failed_images,failed_video,gameId,internal_node_id,response,rt,selected,stimulus,success,text,time_elapsed,timeout,trial_index,trial_type,type,word,error
782,the one true condition,,,,,[],[],[],,0.0-0.0,,,,,True,,43,False,0,preload,,,
782,the one true condition,,,,,,,,,0.0-1.0,0,8823,," <center><img width=""300px"" src=""assets/stanford.png"" /></center><div id=""legal""></br>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at  <a href=""mailto://languagecoglab@gmail.com.""> languagecoglab@gmail.com</a>.You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </div></br>",,,8869,,1,html-button-response,,,
782,the one true condition,,,,,,,,,0.0-2.0,0,80035,,"<h3>Please read these instructions carefully!</h3> </br><div id=""intro""> <p>In this task, you will see a <b>transcript of a conversation</b> some previous participants had where a <b>speaker identified one the images to some listeners</b>.</p></br><center><img width=""600px"" src=""assets/demo.png"" /></center></br><p>Your goal is to <b>read the transcript</b> and <b>figure out which image</b> is being described! </p><p>You will <b>click the image</b> you think is being described, and then you will <b>find out if you were right</b>.<p><p>You will see <b>60 trials</b>. The image choices will stay the same, but the transcripts will come from different groups of people. Some of the transcripts may be much shorter or longer than others. Some of the descriptions may be hard to understand -- just take a guess if you are not sure.</p><p>You will get a bonus of <b>5 cents</b> for each image you get right! </p><p> <b>Note:</b> These descriptions came from real people and may contain inappropriate or offensive language. If you find a description innappropriate, please let us know via Prolific message or in the exit survey, so we can filter it out in the future.</p>",,,88906,,2,html-button-response,,,
782,the one true condition,7503,6_rotate,True,D,,,,7i3mnwWykEA95fvyk,0.0-3.0-0.0,8,[],D,,,"[{'role': 'speaker', 'text': 'holding object out to left', 'playerId': 'zKzojrwHz2R6wEi3M'}, {'role': 'listener', 'text': 'like a basket', 'playerId': '6bYzncKaESZG3XQY3'}, {'role': 'speaker', 'text': 'left foot pointing out to left', 'playerId': 'zKzojrwHz2R6wEi3M'}, {'role': 'speaker', 'text': 'basket yes', 'playerId': 'zKzojrwHz2R6wEi3M'}, {'role': 'listener', 'text': 'triangle on the back', 'playerId': 'xMcZMZoajc3znxvFH'}, {'role': 'listener', 'text': 'left foot in the air', 'playerId': 'HPXeHqtHCBw7Cg7WX'}, {'role': 'speaker', 'text': 'no feet in the air', 'playerId': 'zKzojrwHz2R6wEi3M'}, {'role': 'speaker', 'text': 'person just standing', 'playerId': 'zKzojrwHz2R6wEi3M'}, {'role': 'speaker', 'text': 'bottom corner right angle', 'playerId': 'zKzojrwHz2R6wEi3M'}, {'role': 'speaker', 'text': 'right corner', 'playerId': 'zKzojrwHz2R6wEi3M'}]",96412,,3,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.0,,[],,,,,97320,,4,spr-buttons,feedback,[],
782,the one true condition,3566,6_rotate,True,H,,,,4mKoevW3ykd2FDr7L,0.0-3.0-0.1,11,[],H,,,"[{'role': 'speaker', 'text': 'no limbs', 'playerId': 'vwpmmXPfWPvNcd9RA'}, {'role': 'speaker', 'text': 'triangle shoulders', 'playerId': 'vwpmmXPfWPvNcd9RA'}, {'role': 'speaker', 'text': 'bottom right is pointed', 'playerId': 'vwpmmXPfWPvNcd9RA'}, {'role': 'speaker', 'text': 'hexagonish', 'playerId': 'vwpmmXPfWPvNcd9RA'}]",100887,,5,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.1,,[],,,,,101794,,6,spr-buttons,feedback,[],
782,the one true condition,4944,6_rotate,False,G,,,,6bkpQbsv6wvHWczvB,0.0-3.0-0.2,0,[],C,,,"[{'role': 'speaker', 'text': 'this one looks like a guy leaning backwards resting on his arms face the left of your screen, and they have a rotated square and a triangle on their head', 'playerId': 'pNzsWQrabqXgTRTpu'}, {'role': 'speaker', 'text': 'their ""arm"" is an upside down triangle', 'playerId': 'pNzsWQrabqXgTRTpu'}, {'role': 'listener', 'text': 'like a guy is falling backward', 'playerId': '5LJfKFwCaZ5exES48'}, {'role': 'speaker', 'text': 'no like they are leaning backwards', 'playerId': 'pNzsWQrabqXgTRTpu'}, {'role': 'speaker', 'text': 'half leaning half laying', 'playerId': 'pNzsWQrabqXgTRTpu'}, {'role': 'speaker', 'text': 'there is an upside down triangle for their arm', 'playerId': 'pNzsWQrabqXgTRTpu'}, {'role': 'speaker', 'text': 'and they are facing the left of your screen', 'playerId': 'pNzsWQrabqXgTRTpu'}, {'role': 'speaker', 'text': 'there is a rotated square on the left side of their head', 'playerId': 'pNzsWQrabqXgTRTpu'}, {'role': 'speaker', 'text': 'and a triangle rotated 45 degrees on the left side of their head', 'playerId': 'pNzsWQrabqXgTRTpu'}]",106739,,7,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.2,,[],,,,,107648,,8,spr-buttons,feedback,[],
782,the one true condition,3142,6_rotate,True,D,,,,YcwXqvuyhhCeZ3GSZ,0.0-3.0-0.3,8,[],D,,,"[{'role': 'speaker', 'text': 'priest with book', 'playerId': 't72k5QhnBy6LkmMFf'}]",110791,,9,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.3,,[],,,,,111700,,10,spr-buttons,feedback,[],
782,the one true condition,7998,2_rotate,True,G,,,,gjooqsuf2CPN5AWxi,0.0-3.0-0.4,5,[],G,,,"[{'role': 'speaker', 'text': 'weird shape body, triangle bottom right', 'playerId': 'SzYY9C53Ne7cMaPHC'}]",119700,,11,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.4,,[],,,,,120608,,12,spr-buttons,feedback,[],
782,the one true condition,3756,2_rotate,False,K,,,,YyAyuHf7S76wsbCA6,0.0-3.0-0.5,5,[],G,,,"[{'role': 'speaker', 'text': 'Figure kneeling to right Has a triangle tail on the bottom left', 'playerId': '7R6jKabotwJFLSyNW'}]",124366,,13,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.5,,[],,,,,125273,,14,spr-buttons,feedback,[],
782,the one true condition,3329,2_rotate,True,C,,,,52Z92z3wj7TxhCe3X,0.0-3.0-0.6,0,[],C,,,"[{'role': 'speaker', 'text': ""Shoulders up - sort of like 'why me ' - box head is further to the left"", 'playerId': 'YjxxewuyohjoySxSn'}]",128602,,15,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.6,,[],,,,,129508,,16,spr-buttons,feedback,[],
782,the one true condition,9119,2_rotate,False,E,,,,3A9hhryuHHeDQhoGy,0.0-3.0-0.7,9,[],B,,,"[{'role': 'speaker', 'text': 'player sitting facing right', 'playerId': 'CWk6Fmq7GL3ktEozG'}]",138629,,17,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.7,,[],,,,,139536,,18,spr-buttons,feedback,[],
782,the one true condition,1800,2_rotate,True,C,,,,hu2zy5uGrN4qJ7qqe,0.0-3.0-0.8,0,[],C,,,"[{'role': 'speaker', 'text': '\\\\', 'playerId': 'p7qxLz4WrSqvxaYy3'}]",141337,,19,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.8,,[],,,,,142243,,20,spr-buttons,feedback,[],
782,the one true condition,4659,2_rotate,True,F,,,,BLSAokwRgraiCPo9R,0.0-3.0-0.9,2,[],F,,,"[{'role': 'speaker', 'text': 'Sitting against a wall, diamond head, no bunny ears', 'playerId': 'fEZ4SiL7SCcPWuGZi'}, {'role': 'speaker', 'text': 'feet and legs visible', 'playerId': 'fEZ4SiL7SCcPWuGZi'}, {'role': 'listener', 'text': 'like leaning on a wall to the right', 'playerId': 'yeGgqdipRGXtPNcpu'}, {'role': 'listener', 'text': 'with legs out to the left', 'playerId': 'yeGgqdipRGXtPNcpu'}, {'role': 'speaker', 'text': 'yes with the legs visible not the blob one', 'playerId': 'fEZ4SiL7SCcPWuGZi'}]",146904,,21,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.9,,[],,,,,147810,,22,spr-buttons,feedback,[],
782,the one true condition,8941,6_rotate,False,G,,,,QiHQvZjkmw7v9k3P4,0.0-3.0-0.10,8,[],D,,,"[{'role': 'speaker', 'text': 'a triangle on the floor', 'playerId': 'Rju3Fq3cNiFHZ94te'}, {'role': 'speaker', 'text': 'a rectangle on the floor', 'playerId': 'Rju3Fq3cNiFHZ94te'}, {'role': 'speaker', 'text': 'square facing to the left', 'playerId': 'Rju3Fq3cNiFHZ94te'}, {'role': 'listener', 'text': 'any arms', 'playerId': 'mj43ozqpH4CgJjpyz'}, {'role': 'listener', 'text': 'is the square at the top', 'playerId': 'hzsGC7CBSPkMEyDXq'}, {'role': 'speaker', 'text': 'heads facing to the right', 'playerId': 'Rju3Fq3cNiFHZ94te'}, {'role': 'listener', 'text': ""does it look like it's sitting down"", 'playerId': 'hJDoTe5Qoa4q2ejTt'}, {'role': 'listener', 'text': 'with hands to the back', 'playerId': 'hJDoTe5Qoa4q2ejTt'}, {'role': 'listener', 'text': 'any arms', 'playerId': 'jEzRik8ujt4jnrqFG'}, {'role': 'listener', 'text': 'does it have bunny ears', 'playerId': 'hJDoTe5Qoa4q2ejTt'}, {'role': 'speaker', 'text': 'one arm attached to the leg', 'playerId': 'Rju3Fq3cNiFHZ94te'}, {'role': 'speaker', 'text': 'like a triangle attached to the leg', 'playerId': 'Rju3Fq3cNiFHZ94te'}]",156751,,23,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.10,,[],,,,,157657,,24,spr-buttons,feedback,[],
782,the one true condition,1912,2_rotate,True,F,,,,2928FF7GcrkeFiDkh,0.0-3.0-0.11,2,[],F,,,"[{'role': 'speaker', 'text': 'Sitting on the ground facing left', 'playerId': 'okkXLvTuqNbsZkBZ2'}]",159571,,25,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.11,,[],,,,,160477,,26,spr-buttons,feedback,[],
782,the one true condition,4750,6_rotate,True,L,,,,znSiJdhs7sWk5xhgA,0.0-3.0-0.12,1,[],L,,,"[{'role': 'speaker', 'text': 'kneeling, but NO tail', 'playerId': '4fTnjYS9Cge7Tv7ou'}, {'role': 'speaker', 'text': 'facing right', 'playerId': '4fTnjYS9Cge7Tv7ou'}]",165228,,27,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.12,,[],,,,,166134,,28,spr-buttons,feedback,[],
782,the one true condition,2321,6_rotate,True,H,,,,k4otZKu35xehtF93F,0.0-3.0-0.13,11,[],H,,,"[{'role': 'speaker', 'text': 'a baby in a blanket', 'playerId': '2uEiLua7RSNzB3CP8'}, {'role': 'speaker', 'text': 'with his feet pointing out to the right', 'playerId': '2uEiLua7RSNzB3CP8'}, {'role': 'speaker', 'text': 'no limbs sticking out', 'playerId': '2uEiLua7RSNzB3CP8'}, {'role': 'listener', 'text': 'Different description from baby Other resemblance', 'playerId': 'Sb5t7YLhHirE7JfNH'}, {'role': 'listener', 'text': 'feet pointing to the right', 'playerId': 'ybQ6avjhBa46uuw8Z'}, {'role': 'speaker', 'text': 'man sitting by a wall except has no lower legs', 'playerId': '2uEiLua7RSNzB3CP8'}, {'role': 'speaker', 'text': 'and no arms', 'playerId': '2uEiLua7RSNzB3CP8'}, {'role': 'speaker', 'text': 'sitting on a wall on the left', 'playerId': '2uEiLua7RSNzB3CP8'}]",168455,,29,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.13,,[],,,,,169362,,30,spr-buttons,feedback,[],
782,the one true condition,2351,6_rotate,True,G,,,,znSiJdhs7sWk5xhgA,0.0-3.0-0.14,5,[],G,,,"[{'role': 'speaker', 'text': 'graceful pose', 'playerId': '4fTnjYS9Cge7Tv7ou'}, {'role': 'speaker', 'text': '""italy""', 'playerId': '4fTnjYS9Cge7Tv7ou'}]",171714,,31,spr-buttons,selection,[],
782,the one true condition,,,,,,,,,0.0-3.0-1.14,,[],,,,,172620,,32,spr-buttons,feedback,[],
