workerid,proliferate.condition,button_rt,correct,correct_tangram,failed_audio,failed_images,failed_video,gameId,internal_node_id,response,rt,selected,stimulus,success,text,time_elapsed,timeout,trial_index,trial_type,type,word,error
3019,foobar,,,,[],[],[],,0.0-0.0,,,,,True,,54,False,0,preload,,,
3019,foobar,,,,,,,,0.0-1.0,0,4648,," <center><img width=""300px"" src=""assets/stanford.png"" /></center><div id=""legal""></br>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at  <a href=""mailto://languagecoglab@gmail.com.""> languagecoglab@gmail.com</a>.You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </div></br>",,,4703,,1,html-button-response,,,
3019,foobar,,,,,,,,0.0-2.0,0,61466,,"<h3>Please read these instructions carefully!</h3> </br><div id=""intro""> <p>In this task, you will see a <b>transcript of a conversation</b> some previous participants had where a <b>speaker identified one of the images to some listeners</b>.</p></br><center><img width=""600px"" src=""assets/demo.png"" /></center></br><p>Your goal is to <b>read the transcript</b> and <b>figure out which image</b> is being described! </p><p>You will <b>click the image</b> you think is being described, and then you will <b>find out if you were right</b>.<p><p>You will see <b>64 trials</b>. The image choices will stay the same, but the transcripts will come from different groups of people. Some of the transcripts may be much shorter or longer than others. Some of the descriptions may be hard to understand -- just take a guess if you are not sure.</p><p>You will get a bonus of <b>5 cents</b> for each image you get right! </p><p> <b>Note:</b> These descriptions came from real people and may contain inappropriate or offensive language. If you find a description inappropriate, please let us know via Prolific message or in the exit survey, so we can filter it out in the future.</p>",,,66170,,2,html-button-response,,,
3019,foobar,44773,True,F,,,,omQAFChFFHAuAbPT3,0.0-3.0-0.0,4,[],F,,,"[{'role': 'speaker', 'text': 'Facing to the right, in sitting position', 'playerId': 'faazMWGBB5FbpcYAT'}, {'role': 'speaker', 'text': 'can see foot extended to the left, sorry character facing LEFT', 'playerId': 'faazMWGBB5FbpcYAT'}]",110945,,3,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.0,,[],,,,,111853,,4,spr-buttons,feedback,[],
3019,foobar,5905,True,A,,,,5wn4MiopXyfXuTxG9,0.0-3.0-0.1,8,[],A,,,"[{'role': 'speaker', 'text': 'this figure looks like it is walking', 'playerId': 'HJoHFMvp6qPSD2pXk'}]",117759,,5,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.1,,[],,,,,118664,,6,spr-buttons,feedback,[],
3019,foobar,16461,False,B,,,,BTbGhXZvjdSFubTBg,0.0-3.0-0.2,3,[],K,,,"[{'role': 'speaker', 'text': 'kneeling head forward feet showing', 'playerId': 'WXmyGwByDtSr3gTyk'}, {'role': 'speaker', 'text': 'praying', 'playerId': 'WXmyGwByDtSr3gTyk'}, {'role': 'listener', 'text': 'Bent knees', 'playerId': '9nyyLZ9PJhX7LnAx7'}, {'role': 'listener', 'text': 'Is he puking out a triangle', 'playerId': 'teS8cAZWPXbdKTZP4'}, {'role': 'speaker', 'text': 'triangle', 'playerId': 'WXmyGwByDtSr3gTyk'}, {'role': 'listener', 'text': 'To me that looks like someone in a kimono going ""SAFE"" like at a baseball game', 'playerId': '9nyyLZ9PJhX7LnAx7'}, {'role': 'listener', 'text': 'i can see that lol', 'playerId': 'j9qfbLnF9TpFABZaJ'}]",135126,,7,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.2,,[],,,,,136034,,8,spr-buttons,feedback,[],
3019,foobar,7203,True,E,,,,tWcPGsuGdiD2J7Nrw,0.0-3.0-0.3,0,[],E,,,"[{'role': 'speaker', 'text': 'triangles for ears sitting against wall', 'playerId': '4ErRaLjLeCXS7EoC5'}]",143238,,9,spr-buttons,selection,[],
