tangram,utterance,gameId,trialNum,repNum,value,grouping
A,elephant,JnYAkqq7mqk9Gxdse,46,3,0.0016805469223269,"[1.9e-10,0.0427]"
B,5,iHNnNCnSAx2TYjDhf,60,5,0.00750354606265416,"[1.9e-10,0.0427]"
C,"ok left like square, right hand like triangle pointing up, square head, tilting to left 45 degrees",AdawMQbBwh5vdpoKg,11,0,0.01645055946805412,"[1.9e-10,0.0427]"
D,box under arm,FmuScBvZuEj2zegE2,43,3,0.01439505335690635,"[1.9e-10,0.0427]"
E,mohawk,vuZBGuCBS5f9ibvk7,57,4,0.01061841042556091,"[1.9e-10,0.0427]"
F,"This one looks like a person sat down with their legs pointing to the left, It kind of looks like bent knees, Yes feet on heels!",TY9mhHQpa4R5Q5K6H,1,0,0.02458368466711175,"[1.9e-10,0.0427]"
G,"Square bunny ear, dog shaped other ear, NOT THE TRIANGLE bunny ears",wPKShK8DJjFJDPPC2,26,2,0.00183408085023618,"[1.9e-10,0.0427]"
H,kneeler with feet not on show,QeHxf8rJXN8MCSKYR,41,3,0.01498654153924305,"[1.9e-10,0.0427]"
I,"The medicine ball lunge!, Foot is facing out to the right, Arms are pointing left, as if holding a ball, And the body is balancing on one leg, The head is a perfect diamond, Yeah like a spinning back kick maybe lol",k4otZKu35xehtF93F,34,2,4.0998741916978e-4,"[1.9e-10,0.0427]"
J,kneeling pointing right,7eWGPqmG35RrZoezF,67,5,0.01279463359328024,"[1.9e-10,0.0427]"
K,Kneeling Pointing to right Two diamonds as head Left upward tick on garment,APb85jFMnKTvtxB9Q,55,4,0.00990776596716297,"[1.9e-10,0.0427]"
L,"a person with bend knees facing the the right, and they have a triangle facing the right side, their knees and bent in a zig zag",4bDDi23d6D8SJkrgQ,10,0,0.02563215083105218,"[1.9e-10,0.0427]"
A,person facing left with leg out in front,oJFB5dkDNtRxZNzec,31,2,0.05752042809253831,"(0.0427,0.104]"
B,left foot,QkKavPsKXNH5uJzrs,56,4,0.06909051572260438,"(0.0427,0.104]"
C,"Figure almost looks shot dead, Diamond head, Two arms raised up, No legs",FDXJ7stbQxKCkcKzv,9,0,0.04649273756345543,"(0.0427,0.104]"
D,"this is a more basic shape with a diamond at the top, a point coming out to the left and another point coming out at the base to the left",K3MLgpK29uppByXck,8,0,0.05998145735211514,"(0.0427,0.104]"
E,"the person is sat down and has something sticking out of the top of their head, it is the only one that hasn't got a square for a head, it looks like they have a hat on",Aq5QevmQACnfqeuj4,7,0,0.09488430254029125,"(0.0427,0.104]"
F,"sad man with poncho, feet pointing left",4eigY5GthWZfxug8D,27,2,0.06520507812397211,"(0.0427,0.104]"
G,"it looks like the person is dancing, elbow and arm up to the side, legs are apart",9AyhLQe5bddaES2Af,10,0,0.04854885431383648,"(0.0427,0.104]"
H,"block foot to right, body straight, head straight, no arms",sijMDqp4oocvXG8Sv,45,3,0.05856606331496519,"(0.0427,0.104]"
I,"arms out left one foot out to right, like it's falling to left",QzDZ9idpFkW6nHuCq,66,5,0.08213428763233814,"(0.0427,0.104]"
J,big man 2 triangles,Y334RjwcFj2mS2S3Z,61,5,0.08425441535893959,"(0.0427,0.104]"
K,looks like johnny 5 person holding out something to the right Back left side pointing up,vuZBGuCBS5f9ibvk7,34,2,0.04953102868620165,"(0.0427,0.104]"
L,"Looks like a person that is kneeling, facing the right, diamond for a head, like they're praying",FdsX4xEWYboEy83kj,22,1,0.09289667896393113,"(0.0427,0.104]"
A,"looks like a person walking, one leg on the ground, the other leg is in the air and to the left",pAtG6vt3AyaJypa2j,17,1,0.11283490239043392,"(0.104,0.181]"
B,"angel, hera - seal has got a little tail flick on left side",oXTMu3q59e3nffGz3,40,3,0.1266190234278357,"(0.104,0.181]"
C,no legs leaning to the left arms out,Ja6HX8DgvFAspRAYm,23,1,0.1361388090868976,"(0.104,0.181]"
D,"The person is facing towards the left, both arms and legs pointing to left, Looks like he is holding something",AdiA5JEZBKJ4F5r4i,24,2,0.1700379338406944,"(0.104,0.181]"
E,rabbit ear guy sitting facing right (right angle at bottom left corner),79swBZFsJnrQuHvhd,35,2,0.1642366906390138,"(0.104,0.181]"
F,figure sitting down leg in front of him knee up facing left diamond head,6ikro5aNu98qHGGFL,33,2,0.1097648227869239,"(0.104,0.181]"
G,"X' shaped with a square head on the left side, 2 triangles on the right side one at the top and the other and the bottom",3NRHD2hCEgJ74Q4b2,46,3,0.14441356287188664,"(0.104,0.181]"
H,half hexagon,pAtG6vt3AyaJypa2j,71,5,0.14884575555086685,"(0.104,0.181]"
I,the one u just picked! facing left on one leg,GGz5Zb58tHpG8X5z7,26,2,0.11084749089370052,"(0.104,0.181]"
J,"long flat back, long flat neck with square head on it",QTLcapnjShjWX3s4t,69,5,0.1713877718616989,"(0.104,0.181]"
K,"triangle at the top and then in the middle there is another triangle pointing to the right and looks like it is also kneeling down, there is a triangle in the middle pointing to the right and then one at the pointing pointing upwards",PDtkH4fTndXzR4oNt,15,1,0.1113144671570956,"(0.104,0.181]"
L,lightning bolt shape legs arms facing to right,TfkrsqMn78kJbqqgg,26,2,0.18059680986519863,"(0.104,0.181]"
A,"Guy on one leg, facing the left, head tilted back, Arms look like an up arrow",3AkQAYjgybC5xKfov,71,5,0.2561521465696499,"(0.181,0.268]"
B,"The one I said the left triangle looks like a tail, Diamond head The bottom point connects to the point of two different triangles The right one doesn't connect to anything The left one attaches to a pentagon base",awMBFij9Yo8w2nA5K,31,2,0.2307349157634227,"(0.181,0.268]"
C,the goalie diving left,JnYAkqq7mqk9Gxdse,53,4,0.19589661612423015,"(0.181,0.268]"
D,The person is standing up with a diamond head facing to the left and it looks like it's holding something,g6tPwYeFzT3Cer5qC,45,3,0.21127289217023645,"(0.181,0.268]"
E,"mouse ears on a diamond head, the ears are both triangles, the diamond head is on two triangles",XaYo7mGCsyJKW3w4Z,1,0,0.22761472282887968,"(0.181,0.268]"
F,"It's a man sitting down, Facing left, No arms, Triangle foot with toe pointing up, Head kinda bowing downwards",t3d4LuHZFazCzHhYq,12,1,0.25841921840197196,"(0.181,0.268]"
G,square head tilted left with obscure shape sitting legs in front to left with tail facing down on right,GGz5Zb58tHpG8X5z7,37,3,0.20333823597071185,"(0.181,0.268]"
H,Body tucked in with leg to right,QG9fkFCXKj6g9mjR5,68,5,0.18833923242004308,"(0.181,0.268]"
I,"figure about to kick hard, one long leg and little right leg",SRBofppfmKZ4dhpv2,56,4,0.20248621156045649,"(0.181,0.268]"
J,Select the picture with the most left hand side,GfdodQMJHhNodveqQ,21,1,0.2601105308294271,"(0.181,0.268]"
K,chunk foot prayer,7iF9MxsD2YYEcq3uq,60,5,0.24726055585302056,"(0.181,0.268]"
L,it looks like someone slightly on their knees praying with their arms pointed forward the bend in the knee is slightly angled to the right,DYwdcHHmdgpLTuJ3S,0,0,0.18403477802913493,"(0.181,0.268]"
A,monster,Nh8nE8Qa4C3BkbhD6,61,5,0.29127828493284963,"(0.268,0.375]"
B,Kneeling towards us with both arms out,voSMQaG9H4nC4jy32,40,3,0.28464476505019415,"(0.268,0.375]"
C,The next target image looks like someone standing up but only showing the top half of the body with their arms outstretched and facing to the left when facing the image,TNRYprBpNcgCrb2HF,6,0,0.3489283489612939,"(0.268,0.375]"
D,standing straight hands holding dish to left,QzDZ9idpFkW6nHuCq,56,4,0.28887401691075637,"(0.268,0.375]"
E,two triangles coming out of top of head,2gkxKTcPdQews5qTX,49,4,0.3193620671671833,"(0.268,0.375]"
