tangram,gameId,trialNum,repNum,partial,partial_length,kl
C,22dyGMRgestp8u5Lc,0,0,jumping,1,4.656186668400194
C,22dyGMRgestp8u5Lc,0,0,jumping off,2,0.23486608460479544
C,22dyGMRgestp8u5Lc,0,0,jumping off building,3,0.011420418896658492
C,22dyGMRgestp8u5Lc,0,0,jumping off building with,4,0.23894216398481657
C,22dyGMRgestp8u5Lc,0,0,jumping off building with hands,5,0.7292357671565249
C,22dyGMRgestp8u5Lc,0,0,jumping off building with hands in,6,0.01843794689443597
C,22dyGMRgestp8u5Lc,0,0,jumping off building with hands in the,7,0.09314947301699972
C,22dyGMRgestp8u5Lc,0,0,jumping off building with hands in the air,8,0.010690127936622938
G,22dyGMRgestp8u5Lc,1,0,like,1,0.7750958339491195
G,22dyGMRgestp8u5Lc,1,0,like the,2,0.035437751261411785
G,22dyGMRgestp8u5Lc,1,0,like the a,3,0.42620338262802815
G,22dyGMRgestp8u5Lc,1,0,like the a high,4,0.4601423647895993
G,22dyGMRgestp8u5Lc,1,0,like the a high heeled,5,2.169359091646029
G,22dyGMRgestp8u5Lc,1,0,like the a high heeled shoe,6,0.1676627100823545
G,22dyGMRgestp8u5Lc,1,0,like the a high heeled shoe tough,7,0.26260295214064966
G,22dyGMRgestp8u5Lc,1,0,like the a high heeled shoe tough one,8,0.07676166525765467
H,22dyGMRgestp8u5Lc,2,0,no,1,1.4767327244782877
H,22dyGMRgestp8u5Lc,2,0,no arms,2,0.27062362887633834
H,22dyGMRgestp8u5Lc,2,0,no arms not,3,0.0381314935854182
H,22dyGMRgestp8u5Lc,2,0,no arms not legs,4,1.1163044076800295
H,22dyGMRgestp8u5Lc,2,0,no arms not legs like,5,0.18343082353382395
H,22dyGMRgestp8u5Lc,2,0,no arms not legs like a,6,0.1675871771157195
H,22dyGMRgestp8u5Lc,2,0,no arms not legs like a necktie,7,1.0147904661881808
H,22dyGMRgestp8u5Lc,2,0,no arms not legs like a necktie with,8,0.028821194434605266
H,22dyGMRgestp8u5Lc,2,0,no arms not legs like a necktie with the,9,0.07931493462094008
H,22dyGMRgestp8u5Lc,2,0,no arms not legs like a necktie with the bottom,10,0.1056298577150136
H,22dyGMRgestp8u5Lc,2,0,no arms not legs like a necktie with the bottom turned,11,0.013630345287341078
H,22dyGMRgestp8u5Lc,2,0,no arms not legs like a necktie with the bottom turned slightly,12,0.016675907315315694
H,22dyGMRgestp8u5Lc,2,0,no arms not legs like a necktie with the bottom turned slightly to,13,0.018188309185011655
H,22dyGMRgestp8u5Lc,2,0,no arms not legs like a necktie with the bottom turned slightly to the,14,0.03731813625925214
H,22dyGMRgestp8u5Lc,2,0,no arms not legs like a necktie with the bottom turned slightly to the right,15,0.059184292847639416
B,22dyGMRgestp8u5Lc,3,0,like,1,0.7750958339491195
B,22dyGMRgestp8u5Lc,3,0,like a,2,0.40866438134969896
B,22dyGMRgestp8u5Lc,3,0,like a baby,3,4.97177827703255
B,22dyGMRgestp8u5Lc,3,0,like a baby sitting,4,0.3197829958434213
B,22dyGMRgestp8u5Lc,3,0,like a baby sitting on,5,0.17430588517016077
B,22dyGMRgestp8u5Lc,3,0,like a baby sitting on floor,6,0.8453140508018517
